tweet_id,tweet,image_url,content_type
1331295308492402694,Y does police torture in “Custody”. B’cos it confuses it with “कष्ट दी”। #BhartiSinghArrested #BhartiSingh #bharti #RheaChakraborty #ArnabGowswami #PoliceBrutality #custody,[],text
1331281784873517057,Proof strangulation mark on Sushant's neck &amp; other solid proofs ssr was killed #BB14 Shona Shona  #PrideOfIndianCinemaSURIYA #BiggBoss14 #ShehnaazGill #Fastest3MLikesForButtaBomma #CorruptionIsCorruption #Aari #SaraAliKhan #HrithikRoshan #CoolieNo1 #VarunDhawan #RheaChakraborty,[],text
1331270877128781825,"#RheaChakraborty So many days passed, CBI couldn't frame charge sheet against Rhea. No evidence. But Sushant fans are very satisfied abusing Rhea Chakraborty without valid evidence.",[],text
1331248718214033411,How is #RheaChakraborty ??,[],text
1331226810579750918,"All members of yuva shiv sena party of the likes of #varunsardesai #rahulkanal &amp; #sarnaik's brothers headed by 🐧gives vry negative vibes. All close to bullywood goons, All spewing venom against #SSR /@republic/@KanganaTeam. All rallying for #RheaChakraborty!  #SSRDeservesJustice",[],text
1331219074009821184,"@msshailjasharma Oh really??? Ab bura lag raha hai?? Tab bura nahi laga, when you guys witch hunted n humiliated #RheaChakraborty #AliaBhatt n many other actresses..???  Without any proofs?? Yahan tak u warriors gave them rape threats n called dem W***es.. Karma is a b***h.. Wont spare anyone...  https://t.co/oO8OKy2nmD",['https://pbs.twimg.com/tweet_video_thumb/EnlwrvBUcAMkzY2.jpg'],gif
1331209510728331267,"#ShwetaSinghKirti Accepts #SushantSinghRajput is no more; fine but please dont pester the living, accept that your brother was #drugaddict &amp; committed #suicide as confirmed by #AIIMS, there was no foul play &amp; #RheaChakraborty isnt responsible for his death  https://t.co/2Ft2POMUb8",[],text
1331203624798539777,#SSRDeservesJustice  #SushantSingRajput को कब मिलेगा न्याय? #TheNewsShots   👉  https://t.co/VMuwyO6ofP  #SSRJusticeDelayed #RheaChakraborty #CBIFastTrackSSRCase  https://t.co/8VRSj48dBD,['https://pbs.twimg.com/media/EnliokyVgAEWtpx.jpg'],image
1331160913970282496,"""सारे NCB Officers को मेरा सलाम""   #NCB #AttackOnNCB #SameerWankhede #BollywoodDrugProbe #SushantSingRajput #KrantiRedkar #DeepikaPadukone #MumbaiPolice #SaraAliKhan #RakulPreetSingh #RheaChakraborty #ArjunRampal #BhartiSingh #HaarshLimbachiyaa  WATCH NOW-  https://t.co/3Py9SiYsMJ  https://t.co/OvzeOY4t31",['https://pbs.twimg.com/media/Enk7y7VVoAUxpmM.jpg'],image
1331136365224886272,"Sir aisa nahi bolte #RheaChakraborty k liye! Apko shobha nhi deta! Aage aur bhi log hain, ye statemnt sb par fit bethega?",[],text
1331117643391135744,"#BhartiSingh campaigned for BJP Arrested by NCB ,recovered 86.5gm ganja from her.  Granted bail within a day  #RheaChakraborty arrested by NCB for consuming ganja but no evidence found.  After her bail application was cancelled for 3 times, she was granted bail after 1 month.",[],text
1331106151522418689,"#RheaChakraborty এর কাছে 59গ্রাম, @bharti_lalli এর কাছে 86গ্রাম গাঁজা আছে কেন্দ্রীয় গোয়েন্দারা খবর পেয়ে গেল আবার তাদের গ্রেফতারও করলো।কিন্তু 300kg #RDX কিভাবে ভারতে আসলো তার উত্তর এখনো দিতে পারলো না।কেন? @HMOIndia @PMOIndia @BJP4India @MamataOfficial @BJP4Bengal @amitmalviya",[],text
1331102266200256514,Not surprising  #RheaChakraborty was used in #SSRCase for #BiharElections but #BhartiSingh is #BJPs supporter  https://t.co/BMMuOxJvaj,['https://pbs.twimg.com/media/EnkGc4vVgAAxMB3.jpg'],image
1331101571933880323,We can see diminishing rate of democracy in India..Worse kind of political dictatorship is coming. But as History says such dictatorship will  get destroyed by itself . But many innocents will fall as its victims !!   #SSRDeservesJustice #BhartiSinghArrested #RheaChakraborty,[],text
1331101438030831617,We can see diminishing rate of democracy in India..Worse kind of political dictatorship is coming. But as History says such dictatorship will  get destroyed by itself . But many innocents will fall as its victims !!   #SSRDeservesJustice #BhartiSinghArrested #RheaChakraborty  https://t.co/v2Enj8cm3j,['https://pbs.twimg.com/media/EnkFj-WXcAATSiw.jpg'],image
1331096820773220353,Sri Reddy to reveal the #Tollywood Drug Abusers soon! #moviezupp  https://t.co/CouFPdCaEm #rakulpreetsingh #rheachakraborty #sanjanagalrani #srireddy #srireddynews #srireddyondrugsracket #srireddyteluguherosdrugs #teluguheroes #tollywoodactorsdrigs,[],text
1331080623880954022,#RheaChakraborty #JusticeForSushantSinghRajput #bjpdestroysdemocracy  https://t.co/UuuZKdJWbX,['https://pbs.twimg.com/media/EnjyxFSVEAY5DMc.jpg'],image
1331068126620839936,Are we hypocrites or ignorant?  #DrugMafiaVsNCB #RheaChakraborty  #SSRCulpritsRoamingFree  #SSR  #BhartiSinghArrested   Time to Legalize Ganja? | The True Story that no one talks about | The D...  https://t.co/MZSkUGvUHs via @YouTube,[],text
1330997930036236288,"#DrugMafiaVsNCB   Drugs are used in Bollywood since 1970s.  Governments come and go, no one does anything against it.   What did BJP do in 5 years?  NOTHING.  It WAS a WITCH HUNT, Mr @SudhanshuTrived  @BJP4India had to get Ms #RheaChakraborty in jail before the #BiharElections.",[],text
1330981842804232193,"It seems like some kind of joke happening #RheaChakraborty arrested den got bail, #BharatiSingh and her husband got bail #SushantSinghRajput 's murderer still nt found #dishasalian 's boyfriend yt nt caught . What drama going on? Aise mileyga justice ? @shwetasinghkirt @republic",[],text
1330205892957106183,"@BachchanJaya now what would you say about your so called ""THALI"".  #JISTHALIMKHATEUSSIMCHED #BhartiSinghArrested #deepikapadukone #RheaChakraborty  You destroyed the image of @SrBachchan.",[],text
1330202000970178561,"गांजा मजा भी देता है, सजा भी देता है। #BhartiSingh #RheaChakraborty  #Deepika  #NCB",[],text
1330194159576240128,"THE entire crew of The #KapilSharma  including #BhartiSingh mocked #ArnabGoswami, @pradip103 , #NCB after #RheaChakraborty arrest . Now the entire world is laughing on them  Karma ! #ganja",[],text
