,tweet_id,tweet,image_url,content_type,lang
86,1281233934886383618,"We hv glorious traditions of women soldiers down th ages. In modern times, Russian partisans, German Werewolves, Vietcongs, Peshmerga..there r instances galore of women fighting on equal terms as men. BUT the #FeministMafia hs brought this paradigm of entitlement..ruining merit",[],text,en
1,1422970204011696128,#JusticeForSwapnilPandey #JusticeForSwapnilPandey #JusticeForSwapnilPandey The purpose of the SC-ST Act cannot be to victimize women.  @mhadevkidiwani   #JusticeForSwapnilPandey  https://t.co/6F1Vu6sIiT,['https://pbs.twimg.com/media/E73JsAaVcAwMgje.jpg'],image,en
129,1330150514261176324,Why is #Bollywood not coming out in dozens to support #BhartiSingh as they did for #RheaChakraborty,[],text,en
28,1281233888795213825,"@Ramandeep_Bajwa @w_karve We hv glorious traditions of women soldiers down th ages. In modern times, Russian partisans, German Werewolves, Vietcongs, Peshmerga..there r instances galore of women fighting on equal terms as men. BUT the #FeministMafia hs brought this paradigm of entitlement..ruining merit",[],text,en
70,1282570519837986816,Only legends can get this😂😂🤙🏼 #carryminati #carryminatiroast  https://t.co/hWnz2xVZSL,['https://pbs.twimg.com/media/EcybFhAU4AAAMop.jpg'],image,en
135,1281938292364079104,FULL VIDEO LINK :  https://t.co/Szz8UAwcmQ  HOW SAFE WAS TIKTOK? | TIKTOK BAN Face with tears of joy| TIKTOK ROAST | HORCRUX ARTWORKS | 2020  INFORMATION + FUN #tiktok #tiktokban #bantiktok #banchina #horcruxes #tiktoksad #Horcruxartworks #carryminatiroast  #tiktokroast  https://t.co/SwZVMkduKT,['https://pbs.twimg.com/media/EcpbvS_UMAIT-ny.jpg'],image,en
123,1331281784873517057,Proof strangulation mark on Sushant's neck &amp; other solid proofs ssr was killed #BB14 Shona Shona  #PrideOfIndianCinemaSURIYA #BiggBoss14 #ShehnaazGill #Fastest3MLikesForButtaBomma #CorruptionIsCorruption #Aari #SaraAliKhan #HrithikRoshan #CoolieNo1 #VarunDhawan #RheaChakraborty,[],text,en
46,1331248718214033411,How is #RheaChakraborty ??,[],text,en
69,1280470369917235207,@MumbaiMirror Dont spread #misandry the #FeministMafia @sharmarekha is already doing it and getting rightly snubbed by @smritiirani #CrimeHasNoGender  #GenderBiasedLaws  #MenToo #AblaNari is #coronavirus  @CPMumbaiPolice @Uppolice @PuneCityPolice @ShivSena @timesofindia @ndtv @CNN @BBCHindi,[],text,en
58,1331101571933880323,We can see diminishing rate of democracy in India..Worse kind of political dictatorship is coming. But as History says such dictatorship will  get destroyed by itself . But many innocents will fall as its victims !!   #SSRDeservesJustice #BhartiSinghArrested #RheaChakraborty,[],text,en
2,1374310926766145545,"I was a gud husband, den she lebeled me as a criminal, den i thought myself as a victim, den i cried, den i became angry over injustice &amp; biasness, den i became indifferent, at last I transformed in to a fighter against #LegalTerrorism . Thank you #498A wife!",[],text,en
51,1330205892957106183,"@BachchanJaya now what would you say about your so called ""THALI"".  #JISTHALIMKHATEUSSIMCHED #BhartiSinghArrested #deepikapadukone #RheaChakraborty  You destroyed the image of @SrBachchan.",[],text,en
38,1285198373612478464,@SwatiJaiHind #GenderBiasedLaws will be more dangerous and tough to manage for him #FeministMafia,[],text,en
85,1276303918356664321,You like me! You really really like me! Thanks @Krodinehardy for the amazing pick me up today ❤️ #feministmafia  https://t.co/eGMOf3Ooc0,['https://pbs.twimg.com/media/EbZXoUhXsAEaB-q.jpg'],image,en
117,1281964807978016768,Carryminati new video Bad words get copyright strike! Priyanka karki rea...  https://t.co/3SDAtxHm5h via @YouTube #carryminati #carryminatiroast,[],text,en
128,1325129659206389762,"Before Bom HC Harish Salve elaborately explained the ingredients of Sec 306 IPC &amp; rightly submitted how ""Abetment of Suicide"" is inapplicable in case of #Arnab ... Does he and @republic now realise as to how it was inapplicable in the case of #RheaChakraborty as well?",[],text,en
76,1422959582498877444,"Yes SIR,  Full Details⬇️  say the whole thing  The only Brahmin family among the SC community, the sister-in-law imposed the Atrocity Act on the victim and the family for rejecting marriage and love proposals.   https://t.co/0bxDbnyENq  #JusticeForSwapnilPandey  https://t.co/wX885vRZbs",['https://pbs.twimg.com/media/E79eMBsVIAEVoZk.jpg'],image,en
43,1423166394397458438,#JusticeForSwapnilPandey shame on this gov and act isse better to British log te kaas azadi mili hi na hoti,[],text,en
40,1276467891584430083,@mensarehumans @NCWIndia lawyer hai bhai yeh madam...imagine the #FeministMafia rulings she might have given if she would have become a judge! #FeminismIsCancer  #CrimeByWomen,[],text,en
36,1374228835860762636,"I don't think I'll ever get remarried. Relationships, sure, but I'm just too transient to commit to something like marriage again.   #LegalTerrorism  #mentoo  #ZomatoDeliveryGuy  #relationships  #498a  #AskAMan  #fakecases #ParentalAlienation  @no1_mra @dnfiofkdn @realsiff",[],text,en
111,1374991646836809728,#Thankyou पुरूष आयोग समन्वय समिति   https://t.co/R3DlPBe7FW   for following us!  #visit our #Facebook  https://t.co/0JCJCGbXly   visit website  https://t.co/LPTBuXm8M9    #Dowry #498a #FakeCases increasing #PurushAayog #MensCommission required #MensRights are #HumanRights  prot…,[],text,en
20,1284149048266514437,There is more @radhika_apte in @NetflixIndia than there were  ohh-ohh-ohh's in @kunalkamra88 's roast video of @CarryMinati   #RadhikaApte  #Kunal #NetflixIndia  #carryminatiroast  #carryminati,[],text,en
3,1282177125601038336,"@YouTube is currently getting high. When they will come out of it, they will know about their wrong investigation in the copyright claim. We are with you @CarryMinati . @YouTube get over from it. @CarryMinatiFans #FakeClaimInYouTube #CarryMinati  #carrykajawaab #carryminatiroast",[],text,en
66,1287079881625329664,"⚡️⚡️#CarryMinati Hacked Channel Is Now Back, Thanks For Youtube Immediate Support !! @CarryMinati    https://t.co/ydyu4XGHKk   #carryislive #CARRYMINATIHACKED #carryminatiroast #carryisback",[],text,en
4,1374377987844444163,"@taslimanasreen A good son, A good friend, A good brother, A good student, A good employee, A good citizen becomes a criminal out of sudden! why? how? what crime he did?  he married a #498A woman!  Doing Marriage is a crime! #feminismiscancer #fakecases",[],text,en
61,1330981842804232193,"It seems like some kind of joke happening #RheaChakraborty arrested den got bail, #BharatiSingh and her husband got bail #SushantSinghRajput 's murderer still nt found #dishasalian 's boyfriend yt nt caught . What drama going on? Aise mileyga justice ? @shwetasinghkirt @republic",[],text,en
100,1374637449410867204,@LiveLawIndia @pbhushan1 @adrspeaks Strike down #498a first.  https://t.co/O2teMEbuUh,['https://pbs.twimg.com/media/ExOxeXKVkAIobHw.jpg'],image,en
26,1331096820773220353,Sri Reddy to reveal the #Tollywood Drug Abusers soon! #moviezupp  https://t.co/CouFPdCaEm #rakulpreetsingh #rheachakraborty #sanjanagalrani #srireddy #srireddynews #srireddyondrugsracket #srireddyteluguherosdrugs #teluguheroes #tollywoodactorsdrigs,[],text,en
54,1287077160641912833,Who Hacked Carryminati? Why They Hacked CarryMinati's YouTube Channel.   https://t.co/kjexmZwr5U  #CARRYMINATIHACKED #carryminatiroast #carryislive,[],text,en
33,1422942068494659590,"Sc/ST act was given by Govt for deprived and suppressed. But now this act is  being used as ""Brahmastra"" against General Community. I request Govt. to revisit SC/ST act and stand with truth/Justice.  #JusticeForSwapnilPandey @ABBEPJAGAT  @PMOIndia  https://t.co/zqyfrmaK6z",['https://pbs.twimg.com/media/E73zqs6VkAQD5-6.jpg'],image,en
18,1277677124640333824,"@sights2020 @MenWelfare @barandbench @LiveLawIndia @SFFNGO @KicchaSudeep @SIKSFA_Official @KicchaSudeepFC @PuneethRajkumar @PowerStarPunith @darshshan @rakshitshetty @OfficialViji @officialganesh7 @PrakashRajFC @chirusarja @tarak9999 As per feminist logic, judicial mind should think &amp; write as per #FeministMafia",[],text,en
116,1277767875747385347,@NCWIndia @sharmarekha @editorbains @jyotitiwari05 @police_haryana Good that #FeministMafia also took cognizance of torture by #AblaNari  Else they were only keen to encourage #misandry and provide impunity to women thru #GenderBiasedLaws and #LegalTerrorism  #JusticeforJayarajAndBennick,[],text,en
75,1281960361583800320,#carryminati #carryminatiroast #carryminatitiktokroast #carryminatigotcopyrightstrikes #bbkivines #mumbikerNikhil #carryminatiroastkunalkamra #carryminatiroastyoutube #ashishchanchlani #flyingbeast #rasbharikepapa Watch it guys   https://t.co/Vhvzof0XoJ  https://t.co/RAkkPuvFyJ,['https://pbs.twimg.com/media/EcpwHX8UwAAG8vk.jpg'],image,en
130,1281588964307005440,@sharmarekha @NCWIndia  #ShameOnYou for promoting such #domesticviolence on men. #FeministMafia  #MenToo  #MensCommission  @smritiirani @HMOIndia @rsprasad @PMOIndia @sifchandigarh @sifngp @SIFKtka @sif_odisha @sifgujarat @SIFChtg @sif_india @JharkhandSif @RanchiSif @sifbhopal,[],text,en
134,1374798808895266818,@aajtak #falsecases by women to extrot Money from innocent men and there families members. #498A,[],text,en
7,1331219074009821184,"@msshailjasharma Oh really??? Ab bura lag raha hai?? Tab bura nahi laga, when you guys witch hunted n humiliated #RheaChakraborty #AliaBhatt n many other actresses..???  Without any proofs?? Yahan tak u warriors gave them rape threats n called dem W***es.. Karma is a b***h.. Wont spare anyone...  https://t.co/oO8OKy2nmD",['https://pbs.twimg.com/tweet_video_thumb/EnlwrvBUcAMkzY2.jpg'],gif,en
114,1287049075351629825,"CarryMinati's YouTube Channel Hacked, Bitcoin Adverts Stream on CarryisLive  https://t.co/hx6qbKPaip #CARRYMINATIHACKED #carryhacked #carryminati #carryislive #support #carryislivehacked #carryminatians  #ihaveajoke #alreadyvideo #carryminatiroast #AllStars5 #khabarlazmi #Hanna",[],text,en
59,1330194159576240128,"THE entire crew of The #KapilSharma  including #BhartiSingh mocked #ArnabGoswami, @pradip103 , #NCB after #RheaChakraborty arrest . Now the entire world is laughing on them  Karma ! #ganja",[],text,en
27,1284769266684669952,@CarryMinati Pakistani News Reporters Are Hilarious | Roasted 🤣 Link -  https://t.co/pejHrT1WvY  Guys watch this amazing funny video ❤  #carryminnati #carry #funny #comedy #Roasted #roast #carryminatiroast #memes2020 #hindustanibhau #memesdaily #memes #carryminatimemes #bhuvanbam #angryidea  https://t.co/uGNHje7Inm,['https://pbs.twimg.com/media/EdRq1oRVAAAsJN4.jpg'],image,en
83,1288388780580249601,@KanganaTeam @deepikapadukone So happy to have the #FeministMafia getting picked up. Hope the lawyer who helped the other 2 terrorist doesn't succeed this time. #RheaChakraborty should be jailed &amp; nailed including her wellwishers &amp; Bollywood mafia  #SushantSingRajput  @AmitShah @narendramodi @rashtrapatibhvn,[],text,en
6,1283791623663435778,Finally the record breaker youtuber of India is here on The Focus Cover. @CarryMinati @YouTube @YouTubeIndia #BanTiktok #carryminnati #carryminatiroast #focusclick #parasjain #magazine #magazinecoverchallenge  https://t.co/S89kYqDelw,['https://pbs.twimg.com/media/EdDxrWDVAAISGi2.jpg'],image,en
72,1276232099364659200,@sharmarekha Rationality is out of context with #feministmafia #feminismiscancer #FeministMafia #Feminazis #FeminismIsCoronaVirus  They never cared for responsibility why would they care for social responsibility...,[],text,en
21,1331102266200256514,Not surprising  #RheaChakraborty was used in #SSRCase for #BiharElections but #BhartiSingh is #BJPs supporter  https://t.co/BMMuOxJvaj,['https://pbs.twimg.com/media/EnkGc4vVgAAxMB3.jpg'],image,en
0,1282955634556538880,Carryminati yalgaar painting🎨  Hope you will see it ❤ @CarryMinati  @CarryMinati #carryminati #Hindustabhau #carryroastkarega  #carryminatiroast #carryminatifan #carryminnati @CarryMinati  https://t.co/yqXJJVJxA2,"['https://pbs.twimg.com/media/Ec35Qp0UwAEMszz.jpg', 'https://pbs.twimg.com/media/Ec35SZ5UYAEESg9.jpg', 'https://pbs.twimg.com/media/Ec35UMmUcAEcvx1.jpg']",image,en
122,1325113589015916551,Rhea Chakraborty’s Brother Showik Chakraborty Seeks Bail Plea For Third Time  Know More :  https://t.co/COSbqHvEhA  #ShowikChakraborty #RheaChakraborty #SushantSinghRajput #drugscase #Bollywood #SSRDeathCase #MovieUpdates  #Tollywood #Manacinema #BrakingNews #TodayNews,[],text,en
44,1375042410833584130,"It took leftist newsportals to realise rule of ""bail, not jail"" only when some special people performing comedy or raising slogans or drafting toolkits landed in Jail  Since decades lacs of husbands &amp; their entire families were getting jailed under #498A &amp; none cared a damn.",[],text,en
29,1281909924377681920,People using Masks.....but not covering their nose.....  Me to them :- #carryminati #carryminatiroast  https://t.co/8sPrZI9mRg,['https://pbs.twimg.com/media/EcpCR7cU8AEukPm.jpg'],image,en
50,1422947701059059720,#JusticeForSwapnilPandey  Full support  #आजाद_सेना_यूपी_2022,[],text,en
95,1374459432977924110,It is men who don't know what 498A means. Never ever imagined that it is through his wife that husband gets to know what #498A is and it is a #criminal case.   Husbands should have ample #gratitude  towards wives!,[],text,en
45,1374249251413192707,"Dear David ji, @poonam_mahajan @ianuragthakur et al- this 100 crore thing is State level Law &amp; Order issue, why rock (other useless) parliament works for this? Learn from @smritiirani remarks that #FalseRape #FakeCases #498a etc r state L&amp;O issues not to b disc in parl!",[],text,en
113,1331209510728331267,"#ShwetaSinghKirti Accepts #SushantSinghRajput is no more; fine but please dont pester the living, accept that your brother was #drugaddict &amp; committed #suicide as confirmed by #AIIMS, there was no foul play &amp; #RheaChakraborty isnt responsible for his death  https://t.co/2Ft2POMUb8",[],text,en
92,1374743866478190593,"WATCH VIDEO | Daughter-in-Law Forcefully Re-enters Matrimonial Home When Rs 13 Lakh Settlement Allegedly Failed  Husband's Father | ""She has filed false #498A, DV &amp; Maintenance on us. I am living at elder brother's home, due to threat of more false cases""   https://t.co/PhrX26y4Kb",[],text,en
124,1330162753726722057,"#RheaChakraborty was arrested, kept in jail for 1 month. Comedian #BhartiSingh also got arrested in gaanza use But #NCB will never arrest #DeepikaPadukone just bcoz she is a big movie star and wife of a equally popular movie star. In eyes of law everyone should be equal.",[],text,en
63,1284332824640671744,@NCWIndia @sharmarekha @rsprasad @SwatiJaiHind Beg Borrow Steal or Kill...motto of #AblaNari  #ShameOnYou for encouraging #FeministMafia  MIL a Begger DIL a Killer #CrimeHasNoGender  #CrimeByWomen is on rise @PMOIndia @HMOIndia @rashtrapatibhvn @vaastavngo  https://t.co/qj1x9UofIa,[],text,en
25,1283401790717931520,Guys our first roasting videos out now!! Please watching this video and subscribe the channel and like/cmmt... . link in bio Follow - @bakchodboyiz  . . #youtubevstiktokers #bababakchod #carryminatiroast…  https://t.co/VkeR3WOgCd,[],text,en
97,1284499595788091394,Pakistani News Reporters Are Hilarious | Roasted 🤣 Link -  https://t.co/pejHrT1WvY  Guys watch this amazing funny video ❤  #carryminnati #carry #funny #comedy #Roasted #roast #carryminatiroast #memes2020 #hindustanibhau #memesdaily #memes #carryminatimemes #bhuvanbam #angryidea  https://t.co/7uu1adDK3o,['https://pbs.twimg.com/media/EdN1kp-UEAE3yNP.jpg'],image,en
118,1325121860434980872,Did @Republic_Bharat @republic and #ArnabGoswamy ever imagine that a day will come when #RheaChakraborty will watch arnab in jail from outside ...This #RheaChakraborty is the real #Don,[],text,en
107,1422962254505414661,"@PawanDurani Yes SIR,  Full Details⬇️  say the whole thing  The only Brahmin family among the SC community, the sister-in-law imposed the Atrocity Act on the victim and the family for rejecting marriage and love proposals.   https://t.co/0bxDbnyENq  #JusticeForSwapnilPandey  https://t.co/UcVtZfBDTp",['https://pbs.twimg.com/media/E79gntpVEAAXOGP.jpg'],image,en
96,1288389097787015168,@RomanPinto9 @KanganaTeam @deepikapadukone So happy to have the #FeministMafia getting picked up. Hope the lawyer who helped the other 2 terrorist doesn't succeed this time. #RheaChakraborty should be jailed &amp; nailed including her wellwishers &amp; Bollywood mafia  #SushantSingRajput  @AmitShah @narendramodi @rashtrapatibhvn,[],text,en
10,1286938145989115905,CarryMinati Reaction 👇  https://t.co/yIz6XOd1VJ . . @CarryMinati #carryminati #carryhack #carryislive #CARRYMINATIHACKED #carryminatiroast #carryminatibitcoin #carryislive  https://t.co/btKeo8FzFG,['https://pbs.twimg.com/media/EdwfbDEVoAEwF2_.jpg'],image,en
133,1282355107753979906,Portrait of @CarryMinati 🔥 by me.  I hope he likes it ❤.  .  .  .  .  .  #carryminati #artwork_portrait #pencilsketches #carryminatiroast #carryminatitiktokroast #Fanart #portraits #myart #artoftheday #myart #Pencildrawing  https://t.co/jWmBtBFiOy,['https://pbs.twimg.com/media/EcvXKxRUcAIWCF2.jpg'],image,en
73,1374820517019058176,"@aajtak #womenempowerment K naam pe sub soo rahe hain court , judge , police, media Thanks @aajtak for this news. Please make news , missusing the laws by women. #498A #406Ipc #DV #125Crcp",[],text,en
