,_id,tweet_id,tweet,image_url,content_type,language
1270,619dbc8dde83f8b60cc9b13b,1325499563243876352,@GeneralBakshi ji even #RheaChakraborty is a daughter of a army person. Yeah you were busy at that time licking the boots of @BJP4India,[],text,en
17959,61bc73d0065cab311e82526c,1381293115441618951,#MenAreStillTrash and some #WomenAreTrash,[],text,en
470035,61d5f2d77b77dfb5f288d6b0,1475159572390182914,@rohini_sgh It is actually a pea-shooter in disguise!,[],text,en
373046,61cc268672d32ffd80e35e33,1353767398600531972,"It's disgusting how these scumbags are using the #COVID19 #pandemic to #scam people and make a dishonest profit. I've just recieved this email from the '@NHSuk', saying I am 'required to reply within 12 hours' to get the vaccine! I can see so many people falling for this scam!!  https://t.co/pznx8lKY6d",['https://pbs.twimg.com/media/EsmMRjAXIAELWVG.jpg'],image,en
399515,61cc30c2ba0f5199e4b2d796,1267010452250226688,"Example This is an Instagram Page with close to 100,000 followers. This post of a groom slapping a bride and the meme says ‘My Bestie should also get a husband like this’ It has 688 comments where commenters have mostly tagged girls.Posted 3 hours ago.    https://t.co/nmKPqzssqs  https://t.co/c3YGKotuV9",['https://pbs.twimg.com/media/EZVTRarUEAE6SSy.jpg'],image,en
333214,61cbf2a30dfe2beea92cbf07,1408411624948396037,Do baara mat poochna. Classic ad of the past. #Nostalgia  #Chlormint  https://t.co/BcyCW0fKy2,[],video,en
472958,61d5f6697b77dfb5f288e21b,1476082975871848451,"@rohini_sgh @RCUpadhyay14 Lol 😂 you’re making so much effort to prove that the man wasn’t linked to samajvadi.   Bc, what kind of upbringing you all get is unbelievable",[],text,en
454126,61d5dd817b77dfb5f288988b,1355728875142041605,@medhanarmada All i know is Agricultural reform and Privatisation in the US has made Bill Gates the largest farmland owner and the farmer barely makes minimum wages $12. Govt is stuck subsidising farmers to the tune of $ 49 billion  https://t.co/3AGkjHNTiH,"['https://pbs.twimg.com/media/EtCENnYVcAQFZcO.jpg', 'https://pbs.twimg.com/media/EtCEN3rU4AE5AOk.jpg', 'https://pbs.twimg.com/media/EtCEOFTUUAMeXOx.jpg', 'https://pbs.twimg.com/media/EtCEOeEUUAMEPxa.jpg']",image,en
409884,61cc35abae2b73e6d2c79797,1279324572911677440,@spectar2over Still searching for an answer to this question.,[],text,en
474312,61d5f7c37b77dfb5f288e765,1475796867426357248,@rohini_sgh Same Pictures like Singhu Border @kisanItcell1 @Kisanektamorcha,[],text,en
728,619dbc2bde83f8b60cc9af1d,1333756675128512512,#YahooMostSearchedCelebrity list of 2020: #SushantSinghRajput and #RheaChakraborty bag numero uno spots  @itsSSR @Tweet2Rhea @AnushkaSharma @Yahoo @PMOIndia #PMNarendraModi @ViratKohli @priyankachopra @SonuSood @deepikapadukone #Yahoo2020YearInReview  https://t.co/mmtBeAbCUW,[],text,en
409394,61cc352fd6906c4b08023ad8,1387176616162471939,@Ankit89349967 @aimingforlight @mssirsa i dont see any khalistani here but i do see here failed bjp 😂😂😂😂  https://t.co/ro5DNSYxdr,"['https://pbs.twimg.com/media/E0A9oPhX0AAHAyI.jpg', 'https://pbs.twimg.com/media/E0A9s2KX0AIuZVM.jpg', 'https://pbs.twimg.com/media/E0A9s37XsAIH_MW.jpg', 'https://pbs.twimg.com/media/E0A9wzBXEAsYcFQ.jpg']",image,en
408405,61cc348fc94765ac67e37358,1404386831349678082,@pavioffcl thank you thozhar,[],text,en
384222,61cc29da347401f9a114f9ca,1358844852809715718,"@BonehElad @cootallx @Humble_Analysis Load of BS there was a lockdown only on secular cities the ultra orthodox did what fuck they want - massed for funerals, sent kids to school, massed at synagogues for prayer. 1/100 over the age of 60 died due to COVID-19 in the ultra orthodox population in Israel",[],text,en
438481,61d5bfdd7b77dfb5f2885b6e,1423629266491625472,@vishakhasingh55 @vimalc @WazirXNFT @kunalkamble that work is insane ! congrats to them,[],text,en
442307,61d5cb597b77dfb5f2886a60,1407758664048414724,@bainjal @Uppolice No shame.  RSS is friends police.,[],text,en
400216,61cc310654c87a43c8ec3163,1463520912280408070,"@DanielBSingh1 @Aatma_the_soull @Hansrajroy @SoWutLol @pani_sujit @romans83539 @Bhanu67308125 @AnnPran1 @mystery387 @Dharma_4_U @1bLibertarian @jose2ss @baljit_tweets @BrethrenIndia @dutta_anilk @SevakMasih @Sanatan29044075 @R_i_p_S_a_w @Itamarati5 @Ravindr95654884 @hmmmm123456678 @Victoryvox @AshishAlexander Haha..  stay happy in the well of s!n who cares what you rice bags think or read. You think you are new to spread these lies about Sanatan Dharma? It has survived and will survive. Nothing is embarrassing, we are proud of our nation and Dharma. We are only ashamed of u guys.",[],text,en
69777,61c1dd0178e60889d95c641d,1444006662201823232,@BIGPARKER71 @Oilersfann83 Bitches be crazy,[],text,en
365930,61cc22e46e97b3891821eec6,1475489868704886799,Wanted to go for bae bday! But we go bigger PLANS🙌🏽🙌🏽,[],text,en
115500,61c231faf3e0f96f448e5485,1355489828448526341,@Bharatmohanty_ Saw 4 tractors with tiranga returning to their village 😀,[],text,en
318990,61cbedacbc0ffa329d48acab,1289457779111940097,Will the Centre back the UGC on the holding of college exams? Or listen to students who are in Supreme Court protesting against this. @DrGeetaBhatt says that the UGC model is flexible enough for exams to be held in September. Full show @themojo_in here:   https://t.co/yeLQwNPsC6  https://t.co/RgthpeoLR4,[],video,en
356494,61cc0114dbd458a2f3aef1ad,1396128877819408395,@belikedolly Thanks a lot dolly.,[],text,en
344825,61cbfa47ddbd8fddcd8b367c,1445215517187264516,@khushbookadri Stdy #JCU,[],text,en
485409,61d606877b77dfb5f28912be,1467462914114088960,@Nidhi @virsanghvi Why are you not pleading to speed up vaccination for those who have not had the initial required doses? There are crores of them. Yours is a selfish approach.,[],text,en
346188,61cbfb04fa21987b44f30056,1247553443733991424,@givemesamosa Noted,[],text,en
330759,61cbf1e0e937bf762f0ebd0a,1289892163745017858,Heard about the Union Home Minister Shri @AmitShah Ji being tested positive for #COVID-19. Wishing him a speedy recovery. My prayers are with him and his family!,[],text,en
339137,61cbf7579fc42cfb30e7a30a,1272900708417835011,"MEA: “ We remain firmly convinced of the need for the maintenance of peace and tranquillity in the border areas and the resolution of differences through dialogue. At the same time, we are also strongly committed to ensuring India’s sovereignty and territorial integrity.""",[],text,en
389147,61cc2c50b2f0112e44058b83,1376228030767538178,Calm down haters laa raha hu burnol  #INDvENG,[],text,en
35142,61c068299a58f3c7c3c5d102,1459886782674255874,@begyoufoffygm Love Jihad,[],text,en
388681,61cc2c0e347401f9a114ff60,1419361514750844929,@AaryavartaPutra Jab dushman relegion ke naam pe ladh raha toh hum secular kabh tak ladenge ye bol raha mai aur secularism is agnst Hindus and army is just like India hyper sicularist hai!!,[],text,en
475980,61d5f9a87b77dfb5f288ede9,1475318360669769728,@rohini_sgh @thewire_in @newslaundry @scroll_in @newsclickin Subeh subeh dusro ke business ko nazar lagane lagi..how many are there on social media platforms to listen your angrezi bak bak..,[],text,en
326853,61cbf0aada10b23007ceb15c,1269275217056030721,@itsgauravmishra @ebaearu @kyarawatji @akshay_nerkar @himaninaiduu @SwatiJaiHind @shubhamcybercop @MasalaBai @sheikhimaan Call him out and then I will tell you what I stand for.,[],text,en
466084,61d5ee297b77dfb5f288c741,1408469858455494660,"@seemagoswami Come out of assumptions...flaunt yourself, improves your confidence.. I support #bikinitwitter",[],text,en
91969,61c1e565837af577b2930f23,1460196757485199365,@Naren_kumar07 Ha! Reminds me of good'ol NDTV/Sickular way of reporting if that's the case.,[],text,en
333311,61cbf2ae16418412f84e8077,1237233107691917312,"Deadly implications if in most terror attacks, accused acquitted because of police bungling. @AmitShah @PMOIndia it means: 1. Police implicated innocents &amp; destroyed their lives 2. Shoddy investigation led to release 3. Police never touched real culprits   https://t.co/Wlo4Y5Rfl2",[],text,en
365262,61cc22056e97b3891821ec42,1364044111448313862,Tighten up all month,[],text,en
408833,61cc34ca194a206b35343c09,1418440979091279876,Marketing is the most important thing in the Bollywood. Shahid Kapoor 5’6” height and 55 Kg weight Launda could be a junior artist today without great marketing. But he is a super star with only 2 hit films in his entire career with 100% perfect marketing.,[],text,en
