,_id,tweet_id,tweet,image_url,s3_url,tweet_url,user_id,timestamp_of_creation,language,reply,repost,timestamp_of_scraping,type,search,content_type,conversation_id,date,geo,hashtags,likes_count,mentions,name,near,place,quote_url,replies_count,retweet_date,retweet_id,retweets_count,source,time,timezone,trans_dest,trans_src,translate,urls,user_rt,user_rt_id,username,video,date_created,time_created
429064,61d5a6167b77dfb5f28836a5,1380979763712380928,@zareen_khan Best of luck zareen ji,[],,https://twitter.com/saleemk06339974/status/1380979763712380928,757657986466586624,2021-04-11 01:53:27 IST,en,"[{'screen_name': 'zareen_khan', 'name': 'Zareen Khan', 'id': '108660954'}]",False,20220105193718,reply,zareen_khan,text,1380890567706558466,,,[],0.0,[],Sammy Khan,,,,0.0,,,0.0,,,+0530,,,,[],,,saleemk06339974,0.0,2021-04-11,01:53:27
549630,61dd35d1f453ec932bdd710e,1064906763516944384,"@anishapadukone because you are a good girl and you love us, you will give us a picture of you, Deepika, Hiteshi, Srila, Divya, Sneha 🙏",[],,https://twitter.com/dopeydopeydopey/status/1064906763516944384,4150451003,2018-11-20 21:12:12 IST,en,[],False,20220111131625,reply,anishapadukone,text,1064906763516944384,,,[],1.0,[],Dopey,,,,0.0,,,0.0,,,+0530,,,,[],,,dopeydopeydopey,0.0,2018-11-20,21:12:12
534512,61dc1fca11ae5ace4fb5569b,1370426951844827142,@KhushaliKumar So sweet,[],,https://twitter.com/Mainudd43790515/status/1370426951844827142,1256870263133618178,2021-03-12 23:00:21 IST,en,"[{'screen_name': 'KhushaliKumar', 'name': 'Khushali Kumar', 'id': '2728781858'}]",False,20220110173010,reply,KhushaliKumar,text,1370376278096842754,,,[],0.0,[],Mainuddin Saifi,,,,0.0,,,0.0,,,+0530,,,,[],,,mainudd43790515,0.0,2021-03-12,23:00:21
362122,61cc04803c1dc9efcb0d9c34,1405558374364680196,How close are we?   +10 we’re mutuals +10 seen a pic of me  +10 been in a gc together +10 has my WA number +10 interacted on TL +10 i’ve tagged you on something +10 we’ve dmed +10 you’ve heard my voice +10 know where i live +10 know my full name   😌😌 #Copied,[],,https://twitter.com/QueenAT18AT/status/1405558374364680196,1214840361685835776,2021-06-17 21:40:05 IST,en,[],False,20211229121728,handle,QueenAT18AT,text,1405558374364680196,,,['copied'],19.0,[],AKKU DON🇮🇳,,,https://twitter.com/Anti_Congressi/status/1405547697516339203,24.0,,,6.0,,,+0530,,,,[],,,queenat18at,0.0,2021-06-17,21:40:05
326351,61cbf0862be4b54bb830697c,1460167066317516802,Only 3 arrested and pin drop silence from everywhere .. shame on media and politicians for not highlighting and not questioning the ruling state govt @priyankac19 ??,[],,https://twitter.com/ExSecular/status/1460167066317516802,51310666,2021-11-15 14:15:31 IST,en,[],False,20211229105214,handle,ExSecular,text,1460167066317516802,,,[],259.0,"[{'screen_name': 'priyankac19', 'name': 'priyanka chaturvedi🇮🇳', 'id': '19760270'}]",exsecular,,,https://twitter.com/ANI/status/1459921766973730817,15.0,,,103.0,,,+0530,,,,[],,,exsecular,0.0,2021-11-15,14:15:31
423348,61d59adc7b77dfb5f2882051,1439985750913662980,@SafooraZargar @RanaAyyub Ur own quom is not afraid of you … look what is happening in Afghanistan … chal nikal,[],,https://twitter.com/lovenature2001/status/1439985750913662980,234121618,2021-09-20 21:42:11 IST,en,"[{'screen_name': 'SafooraZargar', 'name': 'Safoora Zargar', 'id': '1103783143'}, {'screen_name': 'RanaAyyub', 'name': 'Rana Ayyub', 'id': '268676434'}]",False,20220105184924,reply,SafooraZargar,text,1439943320633942028,,,[],0.0,[],bhakt 🦋💐🌺🐚🌊🕉🚩,,,,0.0,,,0.0,,,+0530,,,,[],,,lovenature2001,0.0,2021-09-20,21:42:11
561647,61dd3987b5eb5374b79a3664,1261249618895081474,@_anushkashetty your buttocks and bra are really beautiful,[],,https://twitter.com/DNallainathan/status/1261249618895081474,1261248928697266180,2020-05-15 16:28:36 IST,en,[],False,20220111133215,reply,_anushkashetty,text,1261249618895081474,,,[],0.0,[],Danujan Nallainathan,,,,0.0,,,0.0,,,+0530,,,,[],,,dnallainathan,0.0,2020-05-15,16:28:36
450223,61d5d75c7b77dfb5f288894c,1460866918949142531,@SethShruti @thevirdas is not a comedian..he is western world puppet badmouthing my country and hindus  abroad for claps and money...don't forget his vulgar jokes on women he tweets.,[],,https://twitter.com/ristemainbaap/status/1460866918949142531,1435606094668177409,2021-11-17 12:36:29 IST,en,"[{'screen_name': 'SethShruti', 'name': 'Shruti Seth', 'id': '102364880'}]",False,20220105230732,reply,SethShruti,text,1460854880361279488,,,[],0.0,[],Ristemainbaap,,,,0.0,,,0.0,,,+0530,,,,[],,,ristemainbaap,0.0,2021-11-17,12:36:29
592269,61dd468344d18b16f8e0cffd,1455758081325879296,@i_nivethathomas Hello 36 😂😂,[],,https://twitter.com/SunnyMahfud/status/1455758081325879296,1453082887952076807,2021-11-03 10:15:47 IST,en,"[{'screen_name': 'i_nivethathomas', 'name': 'Nivetha Thomas', 'id': '710732526566776832'}]",False,20220111142739,reply,i_nivethathomas,text,1455442580657692675,,,[],0.0,[],Sunny Mahfud,,,,0.0,,,0.0,,,+0530,,,,[],,,sunnymahfud,0.0,2021-11-03,10:15:47
651891,61dfc425381ccca3ef999b5a,1254630473185267712,@IamDeepaMehta @humasqureshi 🌏1WORLD1LOVE💝 4 WAYS PEOPLE REACT DURING PANDEMIC TIMES  ://www.facebook.com/digitalparliment/in    🙏guardianproject TORPROJECT🙏            #mumbailocal #Anonymous  #india #mumbai   https://t.co/N7L4Ja8ltL,[],,https://twitter.com/parliament_d/status/1254630473185267712,1178881886577233922,2020-04-27 10:06:29 IST,en,"[{'screen_name': 'IamDeepaMehta', 'name': 'Deepa Mehta', 'id': '404158121'}, {'screen_name': 'humasqureshi', 'name': 'Huma S Qureshi', 'id': '283916211'}]",False,20220113114813,reply,IamDeepaMehta,text,1254458202885771264,,,"['mumbailocal', 'anonymous', 'india', 'mumbai']",0.0,[],D Parliament,,,,0.0,,,0.0,,,+0530,,,,['https://youtu.be/HBns8YJwb58'],,,parliament_d,0.0,2020-04-27,10:06:29
732809,61dfed82381ccca3ef99d7d4,1181111033605193728,@suza888 Hey hai sissy happy to see you after my long gap @suza888 hope your doing good 😊😊😊😊😊 convey my grand wishes to your family 💖💖💖💖😍😍,[],,https://twitter.com/Vickyshane_/status/1181111033605193728,782909818390458368,2019-10-07 13:06:29 IST,en,"[{'screen_name': 'suza888', 'name': 'suza kumar', 'id': '181226919'}]",False,20220113144441,reply,suza888,text,1181098086891810816,,,[],0.0,"[{'screen_name': 'suza888', 'name': 'suza kumar', 'id': '181226919'}]",Vicky Shane,,,,0.0,,,0.0,,,+0530,,,,[],,,vickyshane_,0.0,2019-10-07,13:06:29
416557,61d58e1d7b77dfb5f28805ca,1458441725811200000,@sanjukta Looking for a position praising pappu...,[],,https://twitter.com/Ammitt3/status/1458441725811200000,1128488481003454465,2021-11-10 19:59:38 IST,en,[],False,20220105175501,reply,sanjukta,text,1458441725811200000,,,[],0.0,[],Ammitt Hooda,,,https://twitter.com/rose_k01/status/1458067903253647371,0.0,,,0.0,,,+0530,,,,[],,,ammitt3,0.0,2021-11-10,19:59:38
334399,61cbf2f62be4b54bb8306e6d,1473611736880414722,@MKbiradar83 Thagede le 😁😁,[],,https://twitter.com/ExSecular/status/1473611736880414722,51310666,2021-12-22 16:39:51 IST,en,"[{'screen_name': 'MKbiradar83', 'name': 'Mahesh kumar🇮🇳', 'id': '412458601'}]",False,20211229110237,handle,ExSecular,text,1473587064109080583,,,[],2.0,[],exsecular,,,,0.0,,,0.0,,,+0530,,,,[],,,exsecular,0.0,2021-12-22,16:39:51
360209,61cc0341ebd918fdf8174b68,1370250409869119489,Zomato founder issues statement after allegations and counter-allegations between an Instagram influencer and a delivery agent: Here is what he said   https://t.co/R5N0fRHItu,[],,https://twitter.com/UnSubtleDesi/status/1370250409869119489,17741799,2021-03-12 11:18:50 IST,en,[],False,20211229121209,handle,UnSubtleDesi,text,1370250409869119489,,,[],485.0,[],Nupur J Sharma,,,,36.0,,,79.0,,,+0530,,,,['https://www.opindia.com/2021/03/zomato-founder-deepinder-goyal-statement-fight-instagram-hitesha-chandranee-kamaraj-delivery-agent/'],,,unsubtledesi,0.0,2021-03-12,11:18:50
572417,61dd3e86b5eb5374b79a3e0a,1441293868247310336,"@RochelleMRao Hello sonysab just a request: plz replace kiku sir's character,he is a multitalented actor&amp;deserves high level caliber work,uncle's character not working sir unfortunately🙏",[],,https://twitter.com/drshaaz21/status/1441293868247310336,1515675812,2021-09-24 12:20:10 IST,en,"[{'screen_name': 'RochelleMRao', 'name': 'Rochelle Rao Sequeira', 'id': '328996951'}]",False,20220111135334,reply,RochelleMRao,text,1426861509653659657,,,[],0.0,[],Dr SHAAZ 21@yahoo,,,,0.0,,,0.0,,,+0530,,,,[],,,drshaaz21,0.0,2021-09-24,12:20:10
530526,61dc1a6611ae5ace4fb54709,917079431952310272,@sussannekroshan Me &amp; Whole Bollywood Fans r wid  @iHrithik .,[],,https://twitter.com/SpeedCritical87/status/917079431952310272,1856795316,2017-10-08 22:59:09 IST,en,"[{'screen_name': 'sussannekroshan', 'name': 'Sussanne Khan', 'id': '114501238'}]",False,20220110170709,reply,sussannekroshan,text,917076701124759552,,,[],2.0,"[{'screen_name': 'ihrithik', 'name': 'hrithik roshan', 'id': '113419517'}]",Supersonic,,,,1.0,,,0.0,,,+0530,,,,[],,,speedcritical87,0.0,2017-10-08,22:59:09
665303,61dfcc19546338b7cb760e8d,1452080681060872193,@thisIsMukti Beautiful model girl,[],,https://twitter.com/bjccp/status/1452080681060872193,250855608,2021-10-24 06:43:07 IST,en,"[{'screen_name': 'thisIsMukti', 'name': 'Mukti Mohan', 'id': '619586351'}]",False,20220113122209,reply,thisIsMukti,text,1450854564509347844,,,[],0.0,[],BJC,,,,0.0,,,0.0,,,+0530,,,,[],,,bjccp,0.0,2021-10-24,06:43:07
608994,61dd4da51a978dfeefb1369d,1341071121181888512,@SimrankMundi @gurickkgmaan Yaar how lucky gurickkmaan to have you 😭,[],,https://twitter.com/ravimirghani_07/status/1341071121181888512,3096379602,2020-12-21 22:50:45 IST,en,"[{'screen_name': 'SimrankMundi', 'name': 'Simran Kaur Mundi', 'id': '448014275'}, {'screen_name': 'gurickkgmaan', 'name': 'GurickkgMaan', 'id': '3091996890'}]",False,20220111145805,reply,SimrankMundi,text,1341017363395784705,,,[],0.0,[],Ravimirghani,,,,0.0,,,0.0,,,+0530,,,,[],,,ravimirghani_07,0.0,2020-12-21,22:50:45
347357,61cbfb9afa21987b44f30151,1240935462706937856,@TweetsByDork saloneeeeee 🐣,[],,https://twitter.com/salonayy/status/1240935462706937856,207880514,2020-03-20 15:07:24 IST,en,[],False,20211229113930,handle,salonayy,text,1240923853565517827,,,[],1.0,[],sal 🍓,,,,1.0,,,0.0,,,+0530,,,,[],,,salonayy,0.0,2020-03-20,15:07:24
544272,61dc4e1411ae5ace4fb57cbb,975976153180790784,@thealkayagnik Many many happy returns of the mam happy wala birthday mam and god bless you.,[],,https://twitter.com/Pinku63384119/status/975976153180790784,801798973178540032,2018-03-20 11:33:42 IST,en,"[{'screen_name': 'thealkayagnik', 'name': 'Alka Yagnik', 'id': '339046755'}]",False,20220110204740,reply,thealkayagnik,text,780404222055460864,,,[],0.0,[],nisha rana,,,,0.0,,,0.0,,,+0530,,,,[],,,pinku63384119,0.0,2018-03-20,11:33:42
385049,61cc2a3e347401f9a114fac7,1417912181459324930,3/ I grew up within a fundamentalist Pentecostal denomination where for the most of its existence it refused to acknowledge the benefits of therapy and viewed it as liberal secular indoctrination. Uneducated approach on their part and illiterate arrogance as well.,[],,https://twitter.com/JarrelOliveira/status/1417912181459324930,989730822063210496,2021-07-21 23:49:42 IST,en,[],False,20211229145829,keyword,secular,text,1417912178678460416,,,[],0.0,[],Olivet Theory,,,,1.0,,,0.0,,,+0530,,,,[],,,jarreloliveira,0.0,2021-07-21,23:49:42
570813,61dd3dbea46a0340e21d8511,1314919298691989504,@shanvisrivastav Super,[],,https://twitter.com/VKayakad/status/1314919298691989504,1302802464387678208,2020-10-10 18:52:45 IST,en,"[{'screen_name': 'shanvisrivastav', 'name': 'shanvi srivastava', 'id': '435821136'}]",False,20220111135014,reply,shanvisrivastav,text,1314179391631441920,,,[],0.0,[],Veeresh Kayakad,,,,0.0,,,0.0,,,+0530,,,,[],,,vkayakad,0.0,2020-10-10,18:52:45
593799,61dd4707a46a0340e21d92da,1357585558004924418,@bani_j Life lessons ❤ what's happened with Keith?? Did he fly off or still chilling on the branch?,[],,https://twitter.com/cuppycakethrill/status/1357585558004924418,2220957728,2021-02-05 12:33:14 IST,en,"[{'screen_name': 'bani_j', 'name': 'Bani J⚡️', 'id': '29951362'}]",False,20220111142951,reply,bani_j,text,1357582287928348672,,,[],0.0,[],Sunshinegurl,,,,1.0,,,0.0,,,+0530,,,,[],,,cuppycakethrill,0.0,2021-02-05,12:33:14
